resume_text,role,finalScore,decision
"Experienced Software Engineer with 5 years of Python, Java, and React. Built scalable microservices.",Software Engineer,85,Selected
"Recent graduate with basic knowledge of HTML and CSS. Did one project in web development.",Software Engineer,45,Rejected
"Data Scientist skilled in Python, SQL, Machine Learning, and Deep Learning. Worked on NLP projects.",Data Scientist,90,Selected
"Frontend Developer with 3 years of experience in JavaScript, React, and Vue. Good UI/UX design skills.",Frontend Developer,80,Selected
"Marketing manager with experience in SEO and content creation. No programming background.",Software Engineer,10,Rejected
"Backend developer strong in Node.js, Express, MongoDB, and AWS. 2 years experience.",Backend Developer,82,Selected
"Data analyst proficient in Excel and Tableau. Basic Python skills.",Data Scientist,55,Rejected
"Full Stack Developer. React, Node.js, SQL, Docker, Kubernetes.",Software Engineer,88,Selected
"Worked as a cashier for 2 years. Very punctual and hardworking.",Frontend Developer,5,Rejected
"Machine Learning Engineer with 4 years in PyTorch, TensorFlow, Computer Vision.",Data Scientist,92,Selected
"Junior dev knowing only HTML, trying to learn JavaScript. No real projects.",Software Engineer,35,Rejected
"I have 10 years of experience in C++, system programming, low latency systems.",Software Engineer,95,Selected
"Cloud Architect with Azure, AWS, Google Cloud certifications. Deep understanding of infrastructure.",DevOps Engineer,90,Selected
"Quality Assurance Tester. Automated testing with Selenium and Cypress.",QA Engineer,78,Selected
